IDCONTACT,IDCUSTOMER,NAME,PREFERENCE,EMAIL,PHONE
14,14,Donald,email,Donald@Texaco.com,(534) 555-2814
34,14,Gerald,paper,Gerald@Texaco.com,(534) 555-4834
54,14,Joe,SMS,Joe@Texaco.com,(534) 555-6854
74,14,Barry,email,Barry@Texaco.com,(534) 555-8874
94,14,Tommy,paper,Tommy@Texaco.com,(534) 555-0894
114,14,Brenda,SMS,Brenda@Texaco.com,(534) 555-2814
134,14,Catherine,email,Catherine@Texaco.com,(534) 555-4814
154,14,Paula,paper,Paula@Texaco.com,(534) 555-6814
174,14,Doris,SMS,Doris@Texaco.com,(534) 555-8814
194,14,Victoria,email,Victoria@Texaco.com,(534) 555-0814
